EmployeeID,Gender,Age,EthnicGroup,WorkType,BusinessUnit,CostCentre,HireDate,RemainsEmployed,PayType,SeperationReason,AgeGroup,TenureDays,TernureMonths,LeaveBalance,SickDaysLast12Mths,CurrentSalary,CurrentEmployeeRating
33624,Male,70,Group A,Contract,Wellington,Research,8/4/1982,No,Salary,Voluntary,50+,12321,411,25,6,62000.0,4
23596,Male,64,Group A,Full Time,Hamilton,Research,11/9/1982,Yes,Salary,Voluntary,50+,12224,407,24,2,113000.0,3
24052,Male,67,Group A,Contract,Dunedin,Facilities,4/5/1983,Yes,Salary,Voluntary,50+,12077,403,7,2,44000.0,3
33916,Female,57,Group A,Full Time,Hamilton,Legal,6/7/1983,Yes,Hourly,Involuntary,50+,12014,400,6,2,83000.0,3
23424,Male,55,Group B,Full Time,Auckland,HR,4/13/1984,Yes,Hourly,Voluntary,50+,11703,390,19,8,79000.0,3
22310,Female,61,Group A,Full Time,Hamilton,Sales & Marketing,7/8/1984,Yes,Salary,Voluntary,50+,11617,387,16,3,91000.0,3
33568,Male,50,Group A,Full Time,Wellington,Facilities,8/28/1984,Yes,Salary,Voluntary,50+,11566,386,8,2,38000.0,5
22390,Female,66,Group B,Full Time,Wellington,Exec Mgmt,9/29/1984,Yes,Salary,Voluntary,50+,11534,384,8,1,161000.0,4
22394,Female,66,Group C,Full Time,Hamilton,Exec Mgmt,10/21/1984,No,Salary,Voluntary,50+,11512,384,9,6,461000.0,3
23592,Male,64,Group A,Contract,Auckland,Finance,10/25/1984,Yes,Hourly,Voluntary,50+,11508,384,11,1,171000.0,3
33350,Female,57,Group A,Full Time,Manukau,Manufacturing,7/23/1985,Yes,Salary,Voluntary,50+,11237,375,16,6,31000.0,1
33264,Female,62,Group B,Full Time,Hamilton,Exec Mgmt,8/12/1986,Yes,Salary,Voluntary,50+,10852,362,0,3,328000.0,2
23706,Male,61,Group A,Full Time,Hamilton,Finance,9/23/1986,Yes,Salary,Voluntary,50+,10810,360,14,2,117000.0,4
24048,Male,65,Group A,Full Time,Hamilton,Manufacturing,9/27/1986,No,Salary,Voluntary,50+,10806,360,3,3,54000.0,3
22324,Female,64,Group A,Full Time,Auckland,Facilities,10/30/1986,Yes,Hourly,Voluntary,50+,10773,359,17,3,46000.0,3
33610,Female,61,Group A,Part Time,Auckland,Sales & Marketing,2/26/1987,Yes,Hourly,Voluntary,50+,10654,355,11,3,91000.0,3
33850,Male,50,Group A,Part Time,Auckland,Finance,4/5/1987,No,Salary,Involuntary,50+,10616,354,10,14,123000.0,3
22746,Male,66,Group A,Part Time,Manukau,Exec Mgmt,5/7/1987,No,Hourly,Voluntary,50+,10584,353,9,6,451000.0,3
23288,Female,56,Group A,Part Time,Wellington,Finance,7/7/1987,Yes,Salary,Voluntary,50+,10523,351,30,9,152000.0,3
27456,Female,54,Group A,Full Time,Christchurch,Legal,9/28/1987,Yes,Salary,Voluntary,50+,10440,348,15,10,108000.0,3
23276,Male,61,Group A,Part Time,Dunedin,Facilities,9/8/1988,No,Salary,Voluntary,50+,10094,336,3,3,42000.0,5
22646,Male,67,Group A,Full Time,Manukau,Research,9/18/1988,No,Salary,Voluntary,50+,10084,336,11,6,80000.0,3
22732,Male,62,Group A,Part Time,Auckland,Sales & Marketing,10/12/1988,No,Salary,Voluntary,50+,10060,335,15,1,47000.0,2
33760,Female,48,Group A,Full Time,Auckland,Facilities,4/5/1989,No,Hourly,Involuntary,30-49,9885,330,27,0,47000.0,2
23686,Male,62,Group A,Part Time,Auckland,Exec Mgmt,6/16/1989,No,Salary,Voluntary,50+,9813,327,9,11,417000.0,3
33336,Male,60,Group A,Full Time,Auckland,HR,7/18/1989,No,Hourly,Voluntary,50+,9781,326,10,0,74000.0,3
24294,Male,62,Group A,Part Time,Auckland,Legal,10/3/1989,Yes,Salary,Voluntary,50+,9704,323,7,3,88000.0,1
33160,Male,46,Group A,Part Time,Dunedin,Facilities,4/28/1990,Yes,Salary,Voluntary,30-49,9497,317,15,0,44000.0,1
24056,Male,60,Group A,Contract,Dunedin,HR,9/14/1990,Yes,Hourly,Voluntary,50+,9358,312,10,6,74000.0,3
24058,Male,78,Group A,Part Time,Manukau,HR,10/17/1990,No,Hourly,Voluntary,50+,9325,311,2,2,81000.0,4
33410,Male,43,Group A,Full Time,Dunedin,Research,11/13/1990,No,Salary,Voluntary,30-49,9298,310,5,2,104000.0,2
24076,Male,64,Group A,Part Time,Auckland,Sales & Marketing,1/17/1991,No,Salary,Voluntary,50+,9233,308,1,4,58000.0,3
31820,Male,60,Group B,Full Time,Nelson,HR,6/18/1991,Yes,Salary,Voluntary,50+,9081,303,8,12,81000.0,2
22802,Female,87,Group A,Full Time,Wellington,Legal,7/9/1991,Yes,Salary,Voluntary,50+,9060,302,0,3,100000.0,2
17834,Male,49,Group A,Full Time,Auckland,Sales & Marketing,11/19/1991,Yes,Salary,Voluntary,30-49,8927,298,2,1,54000.0,3
23364,Male,68,Group B,Part Time,Wellington,IT,9/24/1992,No,Hourly,Voluntary,50+,8617,287,27,4,119000.0,3
33508,Female,45,Group A,Contract,Wellington,Sales & Marketing,4/27/1993,No,Hourly,Voluntary,30-49,8402,280,19,2,88000.0,3
23606,Male,65,Group A,Contract,Wellington,Sales & Marketing,6/12/1993,Yes,Salary,Voluntary,50+,8356,279,32,1,41000.0,2
33376,Female,55,Group A,Full Time,Dunedin,HR,7/22/1993,Yes,Salary,Voluntary,50+,8316,277,9,2,100000.0,3
33676,Male,50,Group A,Full Time,Christchurch,HR,8/31/1993,No,Salary,Voluntary,50+,8276,276,13,10,89000.0,2
24268,Male,65,Group A,Contract,Auckland,HR,10/19/1993,Yes,Salary,Voluntary,50+,8227,274,6,5,76000.0,3
24088,Male,63,Group A,Full Time,Hamilton,Legal,5/10/1994,Yes,Salary,Voluntary,50+,8024,267,8,6,121000.0,5
33338,Female,65,Group A,Contract,Christchurch,Exec Mgmt,6/7/1994,No,Salary,Voluntary,50+,7996,267,0,2,273000.0,2
30214,Male,39,Group B,Full Time,Auckland,Sales & Marketing,7/14/1994,Yes,Salary,Voluntary,30-49,7959,265,5,2,81000.0,3
33434,Male,41,Group A,Full Time,Nelson,Legal,8/17/1994,Yes,Salary,Voluntary,30-49,7925,264,0,4,83000.0,2
18094,Male,44,Group A,Full Time,Hamilton,Research,10/19/1994,No,Salary,Involuntary,30-49,7862,262,5,16,66000.0,3
22810,Female,71,Group A,Contract,Nelson,IT,11/8/1994,No,Salary,Voluntary,50+,7842,261,12,6,76000.0,5
23004,Male,83,Group A,Part Time,Wellington,Finance,12/1/1994,No,Salary,Voluntary,50+,7819,261,13,0,105000.0,3
33082,Male,65,Group A,Part Time,Auckland,Finance,4/20/1995,Yes,Salary,Voluntary,50+,7679,256,2,5,140000.0,3
22816,Male,70,Group A,Part Time,Auckland,Exec Mgmt,7/13/1995,No,Salary,Voluntary,50+,7595,253,3,10,326000.0,4
33948,Male,44,Group A,Full Time,Auckland,Research,8/22/1995,No,Salary,Involuntary,30-49,7555,252,1,7,89000.0,1
22928,Male,69,Group A,Full Time,Wellington,Manufacturing,8/24/1995,No,Salary,Voluntary,50+,7553,252,9,0,44000.0,4
19124,Male,56,Group A,Part Time,Auckland,IT,11/5/1995,Yes,Salary,Involuntary,50+,7480,249,11,8,88000.0,3
32386,Male,46,Group A,Contract,Wellington,Manufacturing,11/8/1995,Yes,Salary,Voluntary,30-49,7477,249,19,7,65000.0,3
30372,Male,62,Group A,Part Time,Auckland,IT,11/15/1995,Yes,Salary,Voluntary,50+,7470,249,5,0,95000.0,4
24102,Male,74,Group A,Contract,Hamilton,HR,3/28/1996,No,Hourly,Voluntary,50+,7336,245,9,1,88000.0,3
24020,Male,75,Group A,Contract,Manukau,Research,4/11/1996,Yes,Salary,Voluntary,50+,7322,244,7,4,86000.0,3
24078,Male,75,Group A,Full Time,Auckland,Research,5/11/1996,No,Salary,Voluntary,50+,7292,243,3,3,108000.0,3
24092,Male,68,Group A,Full Time,Auckland,Sales & Marketing,9/14/1996,No,Hourly,Voluntary,50+,7166,239,6,0,79000.0,4
23122,Male,56,Group A,Part Time,Wellington,Sales & Marketing,10/6/1996,No,Salary,Voluntary,50+,7144,238,1,2,42000.0,3
23652,Male,65,Group A,Part Time,Auckland,IT,10/17/1996,No,Salary,Voluntary,50+,7133,238,5,4,72000.0,3
23608,Male,62,Group A,Full Time,Dunedin,Facilities,11/20/1996,Yes,Salary,Voluntary,50+,7099,237,27,14,37000.0,3
16876,Male,62,Group A,Part Time,Christchurch,Exec Mgmt,11/21/1996,No,Salary,Involuntary,50+,7098,237,12,3,279000.0,5
12924,Male,43,Group A,Full Time,Dunedin,IT,6/4/1997,Yes,Hourly,Voluntary,30-49,6903,230,4,5,120000.0,3
22658,Female,62,Group A,Full Time,Auckland,Finance,6/18/1997,Yes,Salary,Voluntary,50+,6889,230,7,2,113000.0,2
24006,Male,55,Group A,Part Time,Auckland,Exec Mgmt,7/17/1997,Yes,Salary,Voluntary,50+,6860,229,31,16,449000.0,4
27466,Female,46,Group A,Part Time,Christchurch,IT,7/23/1997,Yes,Salary,Voluntary,30-49,6854,228,19,1,110000.0,2
19160,Female,34,Group A,Contract,Dunedin,Research,9/16/1997,Yes,Salary,Involuntary,30-49,6799,227,2,6,98000.0,2
19144,Female,45,Group A,Full Time,Hamilton,IT,9/30/1997,Yes,Salary,Involuntary,30-49,6785,226,13,7,115000.0,3
17408,Female,42,Group A,Full Time,Auckland,IT,10/7/1997,No,Hourly,Involuntary,30-49,6778,226,16,7,65000.0,1
22186,Male,49,Group A,Full Time,Christchurch,Exec Mgmt,11/18/1997,No,Salary,Involuntary,30-49,6736,225,13,11,345000.0,3
20642,Female,34,Group D,Full Time,Dunedin,Sales & Marketing,2/4/1998,Yes,Hourly,Involuntary,30-49,6658,222,6,2,93000.0,3
23714,Male,57,Group A,Full Time,Auckland,HR,2/6/1998,Yes,Salary,Voluntary,50+,6656,222,13,1,96000.0,4
24300,Male,65,Group A,Full Time,Wellington,HR,5/6/1998,Yes,Salary,Voluntary,50+,6567,219,2,2,95000.0,3
33366,Male,69,Group A,Contract,Wellington,Sales & Marketing,8/1/1998,No,Salary,Voluntary,50+,6480,216,9,3,74000.0,1
33482,Female,35,Group A,Full Time,Hamilton,Manufacturing,8/13/1998,Yes,Hourly,Voluntary,30-49,6468,216,7,3,49000.0,3
24010,Male,64,Group A,Full Time,Auckland,Finance,9/2/1998,No,Salary,Voluntary,50+,6448,215,0,7,130000.0,1
23146,Female,65,Group D,Full Time,Auckland,Sales & Marketing,11/18/1998,No,Salary,Voluntary,50+,6371,212,12,8,57000.0,5
33556,Female,39,Group A,Full Time,Christchurch,Sales & Marketing,2/5/1999,Yes,Salary,Voluntary,30-49,6292,210,9,1,68000.0,3
33408,Female,53,Group A,Full Time,Nelson,Finance,3/9/1999,Yes,Salary,Voluntary,50+,6260,209,15,3,146000.0,4
28362,Male,34,Group D,Full Time,Wellington,Research,5/18/1999,Yes,Hourly,Voluntary,30-49,6190,206,7,5,70000.0,3
28588,Female,32,Group A,Full Time,Auckland,Research,5/21/1999,No,Salary,Voluntary,30-49,6187,206,6,15,61000.0,2
22954,Male,71,Group D,Part Time,Christchurch,Manufacturing,8/6/1999,Yes,Salary,Voluntary,50+,6110,204,8,2,58000.0,2
33832,Female,37,Group B,Full Time,Auckland,Facilities,8/26/1999,Yes,Hourly,Involuntary,30-49,6090,203,15,1,43000.0,2
27726,Female,34,Group A,Contract,Hamilton,Exec Mgmt,10/14/1999,Yes,Salary,Voluntary,30-49,6041,201,17,0,191000.0,2
21498,Male,66,Group A,Full Time,Nelson,IT,2/11/2000,Yes,Hourly,Involuntary,50+,5921,197,15,5,71000.0,5
29604,Female,38,Group A,Part Time,Manukau,Finance,3/3/2000,Yes,Salary,Voluntary,30-49,5900,197,3,14,136000.0,3
19142,Female,38,Group D,Full Time,Auckland,Sales & Marketing,4/1/2000,Yes,Salary,Involuntary,30-49,5871,196,13,4,93000.0,5
23622,Male,60,Group A,Part Time,Christchurch,Exec Mgmt,4/28/2000,Yes,Hourly,Voluntary,50+,5844,195,7,2,156000.0,2
30770,Male,41,Group A,Contract,North Shore,Sales & Marketing,6/22/2000,Yes,Salary,Voluntary,30-49,5789,193,5,6,84000.0,3
33570,Female,41,Group A,Contract,Auckland,Finance,7/7/2000,Yes,Salary,Voluntary,30-49,5774,192,10,12,141000.0,3
22198,Female,33,Group A,Full Time,Nelson,Legal,7/22/2000,No,Salary,Involuntary,30-49,5759,192,10,14,112000.0,3
31924,Male,34,Group A,Full Time,North Shore,HR,7/22/2000,Yes,Salary,Voluntary,30-49,5759,192,6,12,87000.0,3
33318,Male,62,Group A,Part Time,Nelson,Sales & Marketing,10/18/2000,No,Salary,Voluntary,50+,5671,189,14,16,72000.0,4
29580,Male,39,Group A,Full Time,Manukau,IT,10/24/2000,Yes,Salary,Voluntary,30-49,5665,189,12,3,105000.0,2
22930,Male,66,Group A,Full Time,Nelson,Sales & Marketing,10/25/2000,Yes,Salary,Voluntary,50+,5664,189,4,3,57000.0,3
19150,Female,64,Group A,Full Time,Auckland,Legal,10/27/2000,No,Salary,Involuntary,50+,5662,189,15,9,83000.0,5
24080,Female,61,Group A,Full Time,Auckland,Facilities,12/1/2000,No,Salary,Voluntary,50+,5627,188,7,3,43000.0,5
17838,Male,31,Group B,Full Time,Auckland,Sales & Marketing,3/7/2001,Yes,Salary,Involuntary,30-49,5531,184,0,5,68000.0,3
33882,Male,47,Group A,Full Time,Wellington,Finance,3/28/2001,Yes,Salary,Involuntary,30-49,5510,184,6,0,146000.0,3
33244,Female,36,Group B,Full Time,Auckland,Legal,4/3/2001,Yes,Salary,Voluntary,30-49,5504,183,18,5,127000.0,2
20658,Male,34,Group B,Full Time,Wellington,IT,4/19/2001,Yes,Salary,Voluntary,30-49,5488,183,5,2,100000.0,3
33358,Female,65,Group A,Full Time,Nelson,Finance,4/26/2001,Yes,Salary,Voluntary,50+,5481,183,19,4,141000.0,5
23578,Male,67,Group A,Full Time,Hamilton,Manufacturing,6/10/2001,Yes,Hourly,Voluntary,50+,5436,181,11,3,52000.0,4
33070,Male,30,Group A,Full Time,Christchurch,Sales & Marketing,6/12/2001,Yes,Salary,Voluntary,30-49,5434,181,8,2,48000.0,3
25608,Male,32,Group A,Full Time,Dunedin,Manufacturing,6/21/2001,No,Hourly,Voluntary,30-49,5425,181,5,3,57000.0,3
33536,Male,50,Group A,Full Time,Wellington,Manufacturing,6/27/2001,No,Hourly,Voluntary,50+,5419,181,12,4,42000.0,3
18730,Female,50,Group A,Part Time,Christchurch,Exec Mgmt,6/27/2001,Yes,Salary,Voluntary,50+,5419,181,19,15,326000.0,4
31976,Male,31,Group A,Full Time,Auckland,Legal,6/28/2001,Yes,Salary,Voluntary,30-49,5418,181,0,3,98000.0,5
29684,Female,48,Group A,Full Time,Dunedin,Facilities,7/11/2001,No,Salary,Voluntary,30-49,5405,180,26,0,37000.0,3
23984,Female,81,Group B,Full Time,Auckland,Facilities,7/12/2001,Yes,Salary,Voluntary,50+,5404,180,16,15,40000.0,3
24090,Male,69,Group A,Full Time,Hamilton,Finance,7/25/2001,No,Salary,Voluntary,50+,5391,180,20,7,125000.0,3
23594,Male,66,Group A,Full Time,Auckland,Sales & Marketing,8/1/2001,Yes,Salary,Voluntary,50+,5384,179,1,2,76000.0,3
24108,Male,65,Group A,Full Time,Auckland,IT,8/7/2001,Yes,Hourly,Voluntary,50+,5378,179,30,13,93000.0,3
22564,Female,65,Group A,Full Time,Wellington,Research,8/14/2001,Yes,Salary,Voluntary,50+,5371,179,9,1,62000.0,3
25336,Male,31,Group A,Full Time,Auckland,Facilities,8/19/2001,Yes,Salary,Voluntary,30-49,5366,179,0,14,44000.0,1
22636,Male,65,Group A,Contract,Dunedin,Exec Mgmt,9/1/2001,Yes,Salary,Voluntary,50+,5353,178,5,0,288000.0,2
33402,Male,33,Group A,Full Time,Auckland,Legal,9/14/2001,Yes,Hourly,Voluntary,30-49,5340,178,15,4,82000.0,3
22872,Male,65,Group A,Part Time,Christchurch,Finance,9/19/2001,Yes,Salary,Voluntary,50+,5335,178,17,0,124000.0,3
22828,Female,73,Group A,Full Time,Auckland,Facilities,9/19/2001,Yes,Salary,Voluntary,50+,5335,178,3,1,42000.0,3
18342,Male,70,Group A,Full Time,Auckland,Manufacturing,10/3/2001,Yes,Salary,Involuntary,50+,5321,177,11,9,35000.0,5
23330,Female,62,Group A,Full Time,Auckland,Research,10/18/2001,No,Salary,Voluntary,50+,5306,177,3,1,117000.0,1
29608,Female,30,Group A,Full Time,Wellington,Research,12/12/2001,No,Salary,Voluntary,30-49,5251,175,23,0,104000.0,3
20316,Male,57,Group A,Full Time,Christchurch,Legal,1/23/2002,Yes,Hourly,Involuntary,50+,5209,174,9,1,108000.0,5
22784,Female,78,Group C,Full Time,North Shore,Manufacturing,1/23/2002,Yes,Salary,Voluntary,50+,5209,174,4,11,58000.0,3
5620,Male,50,Group A,Full Time,Auckland,Research,1/24/2002,No,Salary,Voluntary,50+,5208,174,5,0,75000.0,3
24112,Male,55,Group A,Contract,Dunedin,Exec Mgmt,2/27/2002,Yes,Salary,Voluntary,50+,5174,172,17,1,472000.0,3
24118,Male,62,Group A,Full Time,Auckland,Sales & Marketing,3/29/2002,No,Hourly,Voluntary,50+,5144,171,8,3,92000.0,4
29220,Female,52,Group A,Part Time,Auckland,Research,4/10/2002,Yes,Salary,Voluntary,50+,5132,171,15,2,86000.0,4
23646,Male,65,Group A,Full Time,Auckland,Manufacturing,4/25/2002,Yes,Salary,Voluntary,50+,5117,171,1,3,62000.0,1
24018,Female,75,Group A,Full Time,Wellington,Facilities,6/5/2002,No,Salary,Voluntary,50+,5076,169,3,10,45000.0,1
17850,Male,56,Group A,Contract,Hamilton,Exec Mgmt,7/2/2002,Yes,Salary,Involuntary,50+,5049,168,1,4,247000.0,3
24122,Male,71,Group A,Contract,Christchurch,IT,7/16/2002,No,Hourly,Voluntary,50+,5035,168,1,0,113000.0,3
22836,Male,81,Group A,Full Time,Wellington,Sales & Marketing,7/17/2002,No,Salary,Voluntary,50+,5034,168,3,12,84000.0,3
16756,Male,29,Group A,Full Time,North Shore,Sales & Marketing,7/24/2002,No,Hourly,Involuntary,<30,5027,168,26,3,75000.0,3
24194,Male,61,Group A,Part Time,Auckland,Exec Mgmt,8/14/2002,Yes,Salary,Voluntary,50+,5006,167,5,2,323000.0,4
18872,Female,52,Group D,Part Time,Dunedin,IT,8/28/2002,Yes,Salary,Involuntary,50+,4992,166,1,13,116000.0,3
29606,Female,32,Group A,Full Time,North Shore,Facilities,8/28/2002,Yes,Salary,Voluntary,30-49,4992,166,17,5,42000.0,3
24270,Female,63,Group A,Part Time,Wellington,HR,9/3/2002,No,Salary,Voluntary,50+,4986,166,11,5,90000.0,4
28634,Female,51,Group A,Part Time,Christchurch,Manufacturing,9/10/2002,Yes,Salary,Voluntary,50+,4979,166,17,2,57000.0,3
22832,Male,81,Group A,Full Time,Auckland,Exec Mgmt,9/17/2002,Yes,Salary,Voluntary,50+,4972,166,3,9,376000.0,3
20766,Male,35,Group A,Contract,Auckland,IT,9/18/2002,No,Salary,Involuntary,30-49,4971,166,16,6,101000.0,2
29168,Female,31,Group A,Full Time,Auckland,Finance,9/25/2002,Yes,Salary,Voluntary,30-49,4964,165,6,1,92000.0,5
23738,Female,80,Group A,Part Time,Christchurch,Exec Mgmt,10/15/2002,Yes,Salary,Voluntary,50+,4944,165,13,2,396000.0,3
23328,Female,67,Group A,Full Time,Auckland,Exec Mgmt,10/22/2002,Yes,Salary,Voluntary,50+,4937,165,10,16,434000.0,3
24130,Female,79,Group A,Full Time,Christchurch,Facilities,10/29/2002,No,Hourly,Voluntary,50+,4930,164,24,2,37000.0,4
23698,Male,63,Group A,Full Time,Auckland,Research,11/5/2002,No,Salary,Voluntary,50+,4923,164,4,4,75000.0,3
33648,Male,35,Group A,Part Time,Auckland,Exec Mgmt,11/5/2002,Yes,Salary,Voluntary,30-49,4923,164,5,0,427000.0,2
23590,Male,63,Group A,Part Time,Auckland,Research,11/13/2002,No,Salary,Voluntary,50+,4915,164,3,2,70000.0,1
23412,Male,59,Group B,Full Time,Dunedin,Sales & Marketing,12/4/2002,Yes,Salary,Voluntary,50+,4894,163,13,1,63000.0,2
24002,Male,75,Group A,Part Time,Auckland,Manufacturing,2/11/2003,Yes,Salary,Voluntary,50+,4825,161,7,5,35000.0,3
25166,Female,33,Group A,Full Time,Auckland,IT,3/4/2003,Yes,Salary,Voluntary,30-49,4804,160,4,5,103000.0,4
18686,Female,53,Group A,Contract,Auckland,Finance,4/15/2003,Yes,Salary,Involuntary,50+,4762,159,7,3,114000.0,3
26362,Male,28,Group A,Full Time,Manukau,Manufacturing,5/13/2003,Yes,Salary,Voluntary,<30,4734,158,5,8,66000.0,3
